2, METOP-2 Channel 2 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C002.INP
Number of data points:
1080
Wavenumber (cm-1)   Filter response
    11325.000000       0.941889
    11330.000000       0.941710
    11335.000000       0.941498
    11340.000000       0.941260
    11345.000000       0.941000
    11350.000000       0.940723
    11355.000000       0.940433
    11360.000000       0.940137
    11365.000000       0.939837
    11370.000000       0.939539
    11375.000000       0.939246
    11380.000000       0.938959
    11385.000000       0.938682
    11390.000000       0.938417
    11395.000000       0.938168
    11400.000000       0.937936
    11405.000000       0.937726
    11410.000000       0.937540
    11415.000000       0.937382
    11420.000000       0.937254
    11425.000000       0.937155
    11430.000000       0.937086
    11435.000000       0.937044
    11440.000000       0.937029
    11445.000000       0.937041
    11450.000000       0.937078
    11455.000000       0.937140
    11460.000000       0.937227
    11465.000000       0.937338
    11470.000000       0.937473
    11475.000000       0.937635
    11480.000000       0.937824
    11485.000000       0.938046
    11490.000000       0.938302
    11495.000000       0.938598
    11500.000000       0.938936
    11505.000000       0.939321
    11510.000000       0.939757
    11515.000000       0.940248
    11520.000000       0.940798
    11525.000000       0.941412
    11530.000000       0.942086
    11535.000000       0.942815
    11540.000000       0.943594
    11545.000000       0.944418
    11550.000000       0.945282
    11555.000000       0.946181
    11560.000000       0.947110
    11565.000000       0.948067
    11570.000000       0.949045
    11575.000000       0.950042
    11580.000000       0.951052
    11585.000000       0.952070
    11590.000000       0.953090
    11595.000000       0.954107
    11600.000000       0.955114
    11605.000000       0.956106
    11610.000000       0.957076
    11615.000000       0.958020
    11620.000000       0.958930
    11625.000000       0.959800
    11630.000000       0.960625
    11635.000000       0.961403
    11640.000000       0.962139
    11645.000000       0.962842
    11650.000000       0.963515
    11655.000000       0.964165
    11660.000000       0.964799
    11665.000000       0.965420
    11670.000000       0.966036
    11675.000000       0.966652
    11680.000000       0.967273
    11685.000000       0.967904
    11690.000000       0.968550
    11695.000000       0.969210
    11700.000000       0.969885
    11705.000000       0.970577
    11710.000000       0.971286
    11715.000000       0.972013
    11720.000000       0.972759
    11725.000000       0.973526
    11730.000000       0.974315
    11735.000000       0.975127
    11740.000000       0.975963
    11745.000000       0.976819
    11750.000000       0.977687
    11755.000000       0.978559
    11760.000000       0.979425
    11765.000000       0.980279
    11770.000000       0.981110
    11775.000000       0.981911
    11780.000000       0.982673
    11785.000000       0.983387
    11790.000000       0.984044
    11795.000000       0.984635
    11800.000000       0.985158
    11805.000000       0.985620
    11810.000000       0.986025
    11815.000000       0.986381
    11820.000000       0.986692
    11825.000000       0.986963
    11830.000000       0.987200
    11835.000000       0.987408
    11840.000000       0.987590
    11845.000000       0.987752
    11850.000000       0.987899
    11855.000000       0.988033
    11860.000000       0.988153
    11865.000000       0.988260
    11870.000000       0.988353
    11875.000000       0.988431
    11880.000000       0.988495
    11885.000000       0.988542
    11890.000000       0.988573
    11895.000000       0.988587
    11900.000000       0.988582
    11905.000000       0.988558
    11910.000000       0.988515
    11915.000000       0.988457
    11920.000000       0.988389
    11925.000000       0.988317
    11930.000000       0.988244
    11935.000000       0.988176
    11940.000000       0.988118
    11945.000000       0.988074
    11950.000000       0.988051
    11955.000000       0.988053
    11960.000000       0.988085
    11965.000000       0.988153
    11970.000000       0.988256
    11975.000000       0.988394
    11980.000000       0.988565
    11985.000000       0.988766
    11990.000000       0.988996
    11995.000000       0.989253
    12000.000000       0.989537
    12005.000000       0.989846
    12010.000000       0.990178
    12015.000000       0.990533
    12020.000000       0.990911
    12025.000000       0.991308
    12030.000000       0.991723
    12035.000000       0.992151
    12040.000000       0.992588
    12045.000000       0.993031
    12050.000000       0.993477
    12055.000000       0.993922
    12060.000000       0.994362
    12065.000000       0.994793
    12070.000000       0.995213
    12075.000000       0.995618
    12080.000000       0.996003
    12085.000000       0.996368
    12090.000000       0.996714
    12095.000000       0.997041
    12100.000000       0.997351
    12105.000000       0.997644
    12110.000000       0.997920
    12115.000000       0.998181
    12120.000000       0.998427
    12125.000000       0.998659
    12130.000000       0.998876
    12135.000000       0.999079
    12140.000000       0.999269
    12145.000000       0.999443
    12150.000000       0.999598
    12155.000000       0.999733
    12160.000000       0.999843
    12165.000000       0.999927
    12170.000000       0.999980
    12175.000000       1.000000
    12180.000000       0.999983
    12185.000000       0.999926
    12190.000000       0.999824
    12195.000000       0.999675
    12200.000000       0.999474
    12205.000000       0.999223
    12210.000000       0.998923
    12215.000000       0.998577
    12220.000000       0.998185
    12225.000000       0.997748
    12230.000000       0.997268
    12235.000000       0.996746
    12240.000000       0.996181
    12245.000000       0.995575
    12250.000000       0.994928
    12255.000000       0.994239
    12260.000000       0.993508
    12265.000000       0.992737
    12270.000000       0.991924
    12275.000000       0.991071
    12280.000000       0.990177
    12285.000000       0.989242
    12290.000000       0.988265
    12295.000000       0.987245
    12300.000000       0.986182
    12305.000000       0.985075
    12310.000000       0.983922
    12315.000000       0.982722
    12320.000000       0.981475
    12325.000000       0.980190
    12330.000000       0.978878
    12335.000000       0.977551
    12340.000000       0.976220
    12345.000000       0.974895
    12350.000000       0.973589
    12355.000000       0.972311
    12360.000000       0.971075
    12365.000000       0.969890
    12370.000000       0.968770
    12375.000000       0.967726
    12380.000000       0.966770
    12385.000000       0.965899
    12390.000000       0.965107
    12395.000000       0.964388
    12400.000000       0.963735
    12405.000000       0.963142
    12410.000000       0.962603
    12415.000000       0.962113
    12420.000000       0.961666
    12425.000000       0.961257
    12430.000000       0.960882
    12435.000000       0.960535
    12440.000000       0.960211
    12445.000000       0.959910
    12450.000000       0.959632
    12455.000000       0.959381
    12460.000000       0.959158
    12465.000000       0.958965
    12470.000000       0.958805
    12475.000000       0.958680
    12480.000000       0.958594
    12485.000000       0.958549
    12490.000000       0.958549
    12495.000000       0.958596
    12500.000000       0.958694
    12505.000000       0.958845
    12510.000000       0.959046
    12515.000000       0.959289
    12520.000000       0.959569
    12525.000000       0.959881
    12530.000000       0.960220
    12535.000000       0.960579
    12540.000000       0.960954
    12545.000000       0.961339
    12550.000000       0.961729
    12555.000000       0.962120
    12560.000000       0.962507
    12565.000000       0.962883
    12570.000000       0.963244
    12575.000000       0.963581
    12580.000000       0.963887
    12585.000000       0.964154
    12590.000000       0.964375
    12595.000000       0.964542
    12600.000000       0.964646
    12605.000000       0.964678
    12610.000000       0.964630
    12615.000000       0.964492
    12620.000000       0.964255
    12625.000000       0.963909
    12630.000000       0.963444
    12635.000000       0.962863
    12640.000000       0.962177
    12645.000000       0.961394
    12650.000000       0.960522
    12655.000000       0.959571
    12660.000000       0.958547
    12665.000000       0.957458
    12670.000000       0.956312
    12675.000000       0.955116
    12680.000000       0.953875
    12685.000000       0.952597
    12690.000000       0.951289
    12695.000000       0.949955
    12700.000000       0.948596
    12705.000000       0.947214
    12710.000000       0.945809
    12715.000000       0.944379
    12720.000000       0.942926
    12725.000000       0.941449
    12730.000000       0.939948
    12735.000000       0.938421
    12740.000000       0.936870
    12745.000000       0.935292
    12750.000000       0.933688
    12755.000000       0.932056
    12760.000000       0.930397
    12765.000000       0.928717
    12770.000000       0.927024
    12775.000000       0.925326
